COLOR_INTENSITY,SHAPE,RIPENESS_PER,ALCOHOL_PER,MALIC_ACID_PER,ASH,ALCALINITY_OF_ASH,MAGNESIUM_MEASURE,TOTAL_PHENOLS,FLAVANOIDS,PROANTHOCYANINS,HUE,PROLINE,TEMPERATURE,AVG_HUMIDITY,FERT_NITRO_PER,WATER_O2_PER,WATER_PH,FER_P2O5_PER,SOIL_TYPE,CLASS
120.53,elliptical,16.73,14.23,1.71,2.43,15.6,127,2.8,3.06,2.29,1.04,1065,23.34,54.99,31.21,97.67,7.71,52.02,archean,High
112.57,elliptical,20.3,13.2,1.78,2.14,11.2,100,2.65,2.76,1.28,1.05,1050,23.4,51.91,31.28,99.05,7.66,48.18,archean,High
120.78,elliptical,20.81,13.16,2.36,2.67,18.6,101,2.8,3.24,2.81,1.03,1185,22.29,50.69,31.92,97.95,7.66,28.15,archean,High
134.17,elliptical,19.47,14.37,1.95,2.5,16.8,113,3.85,3.49,2.18,0.86,1480,21.28,47.72,31.79,95.46,7.21,55.95,alluvial,High
112.19,round,17.57,13.24,2.59,2.87,21,118,2.8,2.69,1.82,1.04,735,23.76,45.09,31.86,94.45,7.8,55.99,archean,High
127.54,elliptical,17.44,14.2,1.76,2.45,15.2,112,3.27,3.39,1.97,1.05,1450,22.23,48.39,31.27,94,7.35,39.86,alluvial,High
118.07,elliptical,19.79,14.39,1.87,2.45,14.6,96,2.5,2.52,1.98,1.02,1290,22.59,50.07,31.92,96.38,7.25,29.06,archean,High
116.8,elliptical,17.89,14.06,2.15,2.61,17.6,121,2.6,2.51,1.25,1.06,1295,23.39,47.29,31.95,93.64,7.17,33.73,archean,High
117.75,round,16.62,14.83,1.64,2.17,14,97,2.8,2.98,1.98,1.08,1045,23.98,45.05,31.19,98.17,7.15,29.1,alluvial,High
130.51,elliptical,16.87,13.86,1.35,2.27,16,98,2.98,3.15,1.85,1.01,1045,26.84,53.58,31.91,99.77,7.44,20.95,archean,High
